station_name,line_code,line_name,deliver_no,customer_code,customer_name,longitude,latitude,order_cycle_type,order_weekday,city_village_code,avg_order_qty,distance_to_平城直送,distance_to_灵丘中转站,distance_to_太原直送,nearest_station,distance_to_station,province,city,district,township,full_address,lon_84,lat_84,grid_id,LonGridCenter,LatGridCenter,group,customer_osmid_mapping,OSM_X,OSM_Y,BB_RETAIL_CUSTOMER_CODE,kmeans_cluster
太原直送,BLFS011,BLFS011,118,140123101300,娄烦***鲜粮油区,111.798148,38.063967,1.0,2.0,121.0,35.33,2.479763341741508,2.8008033217068293,0.7346813946201467,太原直送,0.7346813946201467,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇滨河南路阳光水岸,111.79163535325084,38.06340606834559,46_133,111.79394069798926,38.064368692454245,3.0,4506899947.0,111.7916023,38.0633154,140123101300.0,1
太原直送,DLFS011,DLFS011,66,140123101301,娄烦***西商店,111.670407,38.11539,1.0,4.0,220.0,10.67,2.5189115466179057,2.888368569274013,0.8684819346451628,太原直送,0.8684819346451628,山西省,太原市,娄烦县,盖家庄乡,山西省太原市娄烦县盖家庄乡大京线,111.66396776714168,38.1148984917991,24_144,111.6664962772118,38.1138313497249,4.0,8828095927.0,111.6659403,38.1169298,140123101301.0,1
太原直送,CLFS011,CLFS011,84,140123101302,娄烦***便利店,111.752799,38.052749,1.0,3.0,220.0,17.33,2.5161485790986213,2.8457891690132318,0.778492993977471,太原直送,0.778492993977471,山西省,太原市,娄烦县,马家庄乡,山西省太原市娄烦县马家庄乡滨河北路,111.74623672016654,38.05214608580058,38_130,111.747597272252,38.05087887683498,3.0,2330954438.0,111.7703877,38.0541019,140123101302.0,1
太原直送,BLFS011,BLFS011,113,140123101303,娄烦***便利店,111.784949,38.059174,1.0,2.0,121.0,25.67,2.491536321674843,2.8146455923789078,0.7472208091969897,太原直送,0.7472208091969897,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇御景苑小区,111.77841339785914,38.05859387409932,43_132,111.7765619133378,38.05987208724783,3.0,2330954500.0,111.7784277,38.061106,140123101303.0,1
太原直送,DLFS011,DLFS011,113,140123101304,娄烦***达超市,111.819168,38.0764,1.0,4.0,121.0,38.0,2.4572137041132547,2.776384922598625,0.7154987438661188,太原直送,0.7154987438661188,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇君宇大街城关派出所,111.81270082922607,38.07587777678851,49_136,111.81131948264073,38.07785850807351,4.0,8829356003.0,111.8135399,38.0765333,140123101304.0,1
太原直送,ALFS011,ALFS011,34,140123101305,娄烦***酒便利店,111.91286,38.100823,1.0,1.0,220.0,41.67,2.3824002957263533,2.6829989710866498,0.6273965619040374,太原直送,0.6273965619040374,山西省,太原市,娄烦县,杜交曲镇,山西省太原市娄烦县杜交曲镇012乡道,111.90653179202708,38.100408870033526,65_141,111.90400633411524,38.10034153410563,4.0,4506901427.0,111.8949914,38.0949469,140123101305.0,1
太原直送,CLFS011,CLFS011,121,140123101306,娄烦***便利店,111.821764,38.07581,1.0,3.0,121.0,72.33,2.456136215999837,2.7744214812232464,0.7128450431405114,太原直送,0.7128450431405114,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇南大街207号,111.81530317987271,38.075292465069694,50_135,111.81711241085787,38.07336190286709,4.0,4506900714.0,111.8166867,38.0755725,140123101306.0,1
太原直送,ALFS011,ALFS011,76,140123101307,娄烦***百货店,111.801514,38.070249,1.0,1.0,121.0,31.33,2.4727194151429748,2.7947719662949275,0.7321406985525417,太原直送,0.7321406985525417,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇宪州大街,111.79500747479304,38.06969468536374,46_134,111.79394069798926,38.068865297660665,3.0,4506900173.0,111.7968726,38.0702136,140123101307.0,1
太原直送,DLFS011,DLFS011,134,140123101308,娄烦***便利店,111.801931,38.068942,1.0,4.0,121.0,31.0,2.473513505144657,2.7950549781802168,0.7315564510309551,太原直送,0.7315564510309551,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇南大街,111.7954255027458,38.068388083587685,46_134,111.79394069798926,38.068865297660665,3.0,2330954520.0,111.7973317,38.069153,140123101308.0,1
太原直送,CLFS011,CLFS011,60,140123101309,娄烦***门市部,111.664419,37.91874,1.0,3.0,220.0,36.67,2.676273498165128,2.989483603978791,0.8646380231547816,太原直送,0.8646380231547816,山西省,太原市,娄烦县,米峪镇乡,山西省太原市娄烦县米峪镇乡潘岔线郭家庄村委会,111.65801817608954,37.918218676373854,23_100,111.66070334899464,37.91598072064229,3.0,5234750466.0,111.6508149,37.9416888,140123101309.0,1
太原直送,ALFS011,ALFS011,50,140123101310,娄烦***购物超市,111.707596,38.029024,1.0,1.0,220.0,55.67,2.5626137698830096,2.8968175084338705,0.8215455485668511,太原直送,0.8215455485668511,山西省,太原市,娄烦县,马家庄乡,山西省太原市娄烦县马家庄乡中国邮政储蓄银行(尖山邮政所)尖山宾馆,111.70108013664716,38.02844893652325,30_125,111.70125384651472,38.02839585080286,3.0,5234776380.0,111.7013281,38.0284593,140123101310.0,1
太原直送,ALFS011,ALFS011,8,140123101311,娄烦***便利店,111.968777,38.02519,1.0,1.0,220.0,25.0,2.41354364715142,2.6743393645178943,0.5608621731450584,太原直送,0.5608621731450584,山西省,太原市,娄烦县,杜交曲镇,山西省太原市娄烦县杜交曲镇娄烦县旺鑫种植专业合作社,111.96234973632856,38.02466656799548,75_124,111.96193561628682,38.02389924559644,4.0,11733011236.0,111.9581691,38.0301358,140123101311.0,1
太原直送,BLFS011,BLFS011,21,140123101313,娄烦***中门市,111.855335,38.179861,1.0,2.0,220.0,13.67,2.352880302867104,2.694726004783604,0.7028013776935889,太原直送,0.7028013776935889,山西省,太原市,娄烦县,静游镇,山西省太原市娄烦县静游镇静上线,111.84894142127632,38.17942337151633,55_159,111.84607705194368,38.18128042782124,4.0,5236795931.0,111.8492306,38.1798595,140123101313.0,1
太原直送,ALFS011,ALFS011,43,140123101316,娄烦***元便利店,111.786902,38.05705,1.0,1.0,220.0,16.67,2.4920538769155884,2.813998800682938,0.7450406742789305,太原直送,0.7450406742789305,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇岚马线娄烦县人民医院,111.78036975113754,38.0564718234388,44_131,111.78235484155496,38.0553754820414,3.0,2330954500.0,111.7784277,38.061106,140123101316.0,1
太原直送,BLFS011,BLFS011,87,140123101317,娄烦***便利店,111.792024,38.063603,1.0,2.0,121.0,20.33,2.483737835147059,2.8063061691590248,0.7407154770632269,太原直送,0.7407154770632269,山西省,太原市,娄烦县,娄烦镇,山西省太原市娄烦县娄烦镇滨河北路涧河公园,111.7854997534792,38.06303300261402,45_133,111.7881477697721,38.064368692454245,3.0,4506899940.0,111.7864036,38.063204,140123101317.0,1
